"Sequence",0,1,2
"snoRNA:SNORD116_ENSMUSG00000095045_88|chr7|-|59774191|59774283|0|0",-1.8493499755859375,-80.0848388671875,5.520045280456543
"snoRNA:SNORD116_ENSMUSG00000095060_92|chr7|-|59723645|59723737|0|0",-4.580726623535156,-44.33952331542969,-11.389814376831055
"snoRNA:SNORD116_ENSMUSG00000095100_94|chr7|-|59771657|59771749|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000095155_92|chr7|-|59741374|59741466|0|0",-7.331592559814453,-64.28793334960938,-10.64323616027832
"snoRNA:SNORD116_ENSMUSG00000095349_81|chr7|-|59796906|59796997|0|0",-8.732807159423828,-65.90341186523438,-7.460956573486328
"snoRNA:SNORD116_ENSMUSG00000095374_94|chr7|-|59866789|59866881|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000095389_92|chr7|-|59736314|59736406|0|0",-8.341743469238281,-65.80776977539062,-3.922335624694824
"snoRNA:SNORD116_ENSMUSG00000095458_94|chr7|-|59879460|59879552|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000095479_92|chr7|-|59776725|59776817|0|0",-7.221439361572266,-69.11666870117188,-1.84136962890625
"snoRNA:SNORD116_ENSMUSG00000095542_92|chr7|-|59746426|59746518|0|0",-8.341743469238281,-65.80776977539062,-3.922335624694824
"snoRNA:SNORD116_ENSMUSG00000095618_94|chr7|-|59789332|59789424|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000095639_92|chr7|-|59786819|59786911|0|0",-6.970027923583984,-65.32662963867188,-9.372934341430664
"snoRNA:SNORD116_ENSMUSG00000095641_94|chr7|-|59864241|59864333|0|0",-8.98904800415039,-58.839473724365234,-13.986431121826172
"snoRNA:SNORD116_ENSMUSG00000095691_94|chr7|-|59902214|59902306|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000095734_92|chr7|-|59708470|59708562|0|0",-21.195226669311523,-56.286048889160156,-22.43192481994629
"snoRNA:SNORD116_ENSMUSG00000096017_92|chr7|-|59756515|59756607|0|0",-28.186059951782227,-56.7933349609375,-46.952980041503906
"snoRNA:SNORD116_ENSMUSG00000096019_94|chr7|-|59675989|59676081|0|0",-15.924911499023438,-57.82810592651367,-19.748430252075195
"snoRNA:SNORD116_ENSMUSG00000096057_90|chr7|-|59731224|59731316|0|0",-1.1229248046875,-22.334245681762695,-8.378522872924805
"snoRNA:SNORD116_ENSMUSG00000096070_94|chr7|-|59754003|59754095|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096082_92|chr7|-|59721126|59721218|0|0",-4.580726623535156,-44.33952331542969,-11.389814376831055
"snoRNA:SNORD116_ENSMUSG00000096095_92|chr7|-|59738849|59738941|0|0",-8.341743469238281,-65.80776977539062,-3.922335624694824
"snoRNA:SNORD116_ENSMUSG00000096110_94|chr7|-|59716060|59716152|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096148_94|chr7|-|59703428|59703520|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096159_94|chr7|-|59683587|59683679|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096190_94|chr7|-|59884500|59884592|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096231_78|chr7|-|59713535|59713625|0|0",-12.13656997680664,-61.90703201293945,-5.660979270935059
"snoRNA:SNORD116_ENSMUSG00000096248_92|chr7|-|59698308|59698400|0|0",-8.98904800415039,-58.839473724365234,-13.986431121826172
"snoRNA:SNORD116_ENSMUSG00000096302_92|chr7|-|59769139|59769231|0|0",-7.331592559814453,-64.28793334960938,-10.64323616027832
"snoRNA:SNORD116_ENSMUSG00000096305_88|chr7|-|59733771|59733863|0|0",7.143638610839844,10.971519470214844,-9.427970886230469
"snoRNA:SNORD116_ENSMUSG00000096313_94|chr7|-|59881990|59882082|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096431_94|chr7|-|59681056|59681148|0|0",-3.871326446533203,-36.14907455444336,-12.763288497924805
"snoRNA:SNORD116_ENSMUSG00000096462_94|chr7|-|59806996|59807088|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096475_94|chr7|-|59894621|59894713|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096502_92|chr7|-|59718589|59718681|0|0",-4.580726623535156,-44.33952331542969,-11.389814376831055
"snoRNA:SNORD116_ENSMUSG00000096604_94|chr7|-|59801957|59802049|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096634_94|chr7|-|59897162|59897254|0|0",-27.204326629638672,-57.68905258178711,-41.1627197265625
"snoRNA:SNORD116_ENSMUSG00000096660_92|chr7|-|59743913|59744005|0|0",-8.341743469238281,-65.80776977539062,-3.922335624694824
"snoRNA:SNORD116_ENSMUSG00000096677_90|chr7|-|59728682|59728774|0|0",-5.088661193847656,-73.23066711425781,0.6756563186645508
"snoRNA:SNORD116_ENSMUSG00000096759_94|chr7|-|59876934|59877026|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096845_94|chr7|-|59794361|59794453|0|0",-9.96103286743164,-57.71332931518555,-13.469949722290039
"snoRNA:SNORD116_ENSMUSG00000096865_92|chr7|-|59759027|59759119|0|0",-28.186059951782227,-56.7933349609375,-46.952980041503906
"snoRNA:SNORD116_ENSMUSG00000096868_92|chr7|-|59799445|59799537|0|0",-6.970027923583984,-65.32662963867188,-9.372934341430664
