Name,ID,Chromosome,Strand,Gene start,Gene end,Expression start,Expression end,Alias Name,Type,Source,Expression,Host gene,overlapping gene,Rfam ID,p-value,RNA family name,RNA family,comment,Conservation,Reported1 (R) ,Human1 (H),Conserved1 (C),Selected1,ICI1,,Reported2 (R),Human2 (H),Conserved2 (C),Selected2,ICI,,,,,,,,,,,,,
SNORD10,snoID_0011,chr17,+,7480129,7480276,7480130,7480270,SNORD10,CD,HUGO,29256584,SENP3-EIF4A1,SNORD10,RF01290,3.00E-029,SNORD10,Small nucleolar RNA SNORD10,,Tetrapodes and Teleostes,-,U4.1-136,NA,NA,0.52 (H),,28S-3787;U6-77,28S-2535,U6.1-77,RC:U6.1-77,0.96,,,,,,,,,,,,,
SNORD37,snoID_0012,chr19,-,3982505,3982570,3982570,3982505,SNORD37,CD,HUGO,23752321,EEF2,SNORD37,RF00440,3.50E-015,SNORD37,Small nucleolar RNA SNORD37,,Amniotes,-,U7-33,NA,NA,0 (H),,28S-3697,28S-3697,28S-3697,RCH:28S-3697,1.64,,,,,,,,,,,,,
SNORD21,snoID_0013,chr1,+,93302846,93302940,93302847,93302935,SNORD21,CD,HUGO,21310926,RPL5,SNORD21,RF00068,4.10E-026,SNORD21,Small nucleolar RNA SNORD21,,Tetrapodes and Teleostes,28S-1303,28S-1303,28S-1303,RCH:28S-1303,1.63,,-,U5.4-108,NA,NA,0 (H),,,,,,,,,,,,,
SNORD64,snoID_0014,chr15,+,25230247,25230313,25230249,25230310,SNORD64,CD,HUGO,20488201,SNURF-SNRPN,SNORD64,RF00570,5.30E-023,SNORD64,Small Nucleolar RNA SNORD64,,Eutherians,-,U1.1-29,NA,NA,0.48 (H),,-,5.8S-45,U1.1-53,C:U1.1-53,1.07,*,,,,,,,,,,,,
SNORD50A,snoID_0015,chr6,-,86387012,86387086,86387086,86387010,SNORD50A,CD,HUGO,18848461,SNHG5,SNORD50A,RF00278,2.30E-021,SNORD50,Small nucleolar RNA SNORD50,,Tetrapodes and Teleostes,28S-2848,28S-2848,28S-2848,RCH:28S-2848,1.17,,28S-2863,28S-2863,18S-1598,RH:28S-2863,1.02,,,,,,,,,,,,,
SNORD119,snoID_0016,chr20,-,2443598,2443693,2443681,2443612,SNORD119,CD,HUGO,18167463,SNRPB,SNORD119,RF01164,0.0000076,SNORD107,Small nucleolar RNA SNORD107,,Therians,28S-4560,28S-4560,18S-1852,RH:28S-4560,1.11,,-,18S-880,28S-5027,C:28S-5027,1.02,*,,,,,,,,,,,,
SNORD49B,snoID_0017,chr17,+,16342823,16342870,16342819,16342890,SNORD49B,CD,HUGO,17601816,C17orf76-AS1,SNORD49B,RF00277,4.10E-018,SNORD49,Small nucleolar RNA SNORD49,,Vertebrates,-,28S-4402,NA,NA,0 (H),,28S-4426,28S-4426,28S-4426,RCH:28S-4426,0.84,,,,,,,,,,,,,
SNORD127,snoID_0018,chr14,+,45580078,45580178,45580090,45580165,SNORD127,CD,HUGO,16828495,PRPF39,SNORD127,RF01186,2.00E-025,SNORD127,Small nucleolar RNA SNORD127,,Amniotes,18S-1447,18S-1447,18S-1447,RCH:18S-1447,1.58,,-,28S-4285,28S-4285,NA,0.71 (CH),,,,,,,,,,,,,
SNORD38B,snoID_0019,chr1,+,45244062,45244130,45244062,45244127,SNORD38B,CD,HUGO,15802853,RPS8,SNORD38B,RF00212,2.10E-021,SNORD38,Small nucleolar RNA SNORD38,,Vertebrates,-,5.8S-108,NA,NA,0.06 (H),,28S-1858,28S-1858,28S-1858,RCH:28S-1858,1.24,,,,,,,,,,,,,
SNORD2,snoID_0020,chr3,+,186502585,186502654,186502587,186502649,SNORD2,CD,HUGO,15337011,EIF4A2,SNORD2,RF01299,9.90E-024,SNORD2,Small nucleolar RNA SNORD2,,Vertebrates,-,U4atac.3-36,NA,NA,0.23 (H),,28S-1509,28S-1509,28S-1509,RCH:28S-1509,1.51,,,,,,,,,,,,,
SNORD116-3,snoID_0021,chr15,+,25302006,25302102,25302008,25302101,SNORD116-3,CD,HUGO,11415163,SNURF-SNRPN,SNORD116-3,RF00108,1.10E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD116-9,snoID_0022,chr15,+,25318253,25318349,25318255,25318348,SNORD116-9,CD,HUGO,11415162,SNURF-SNRPN,SNORD116-9,RF00108,1.10E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD116-5,snoID_0023,chr15,+,25307479,25307575,25307481,25307574,SNORD116-5,CD,HUGO,10538156,SNURF-SNRPN,SNORD116-5,RF00108,2.20E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-3593,NA,NA,0.24 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD116-7,snoID_0024,chr15,+,25312934,25313030,25312936,25313029,SNORD116-7,CD,HUGO,10538025,SNURF-SNRPN,SNORD116-7,RF00108,2.20E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-3593,NA,NA,0.24 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD36B,snoID_0025,chr9,+,136216949,136217019,136216951,136217019,SNORD36B,CD,HUGO,8884880,RPL7A,SNORD36B,RF00049,3.50E-014,SNORD36,Small nucleolar RNA SNORD36,,Deuterostomes,18S-668,18S-668,18S-668,RCH:18S-668,1.4,,28S-3703,28S-943,28S-3703,RC:28S-3703,1.46,,,,,,,,,,,,,
SNORD15B,snoID_0026,chr11,+,75115465,75115610,75115465,75115610,SNORD15B,CD,HUGO,7858324,RPS3,SNORD15B,RF00067,3.50E-030,SNORD15,Small nucleolar RNA SNORD15,,Vertebrates,28S-3764,28S-4662,28S-3764,RC:28S-3764,1.27,,,,,,,,,,,,,,,,,,,
SNORD104,snoID_0027,chr17,+,62223438,62223517,62223441,62223514,SNORD104,CD,HUGO,7497039,NA,SNORD104,RF00289,1.50E-025,SNORND104,Small nucleolar RNA SNORD104,,Eutherians,-,28S-1429,U5.2-16,NA,0.7 (C),,28S-1327,28S-1327,28S-1327,RCH:28S-1327,1.27,,,,,,,,,,,,,
SNORD42B,snoID_0028,chr17,+,27047568,27047634,27047569,27047634,SNORD42B,CD,HUGO,7484725,RPL23A,SNORD42B,RF00150,1.30E-017,SNORD42,Small nucleolar RNA SNORD42,,Tetrapodes and Teleostes,18S-116,18S-116,18S-116,RCH:18S-116,1.9,,-,28S-4652,NA,NA,0.23 (H),,,,,,,,,,,,,
SNORD28,snoID_0029,chr11,-,62622093,62622167,62622167,62622094,SNORD28,CD,HUGO,7481452,SNHG1,SNORD28,RF00085,4.20E-022,SNORD28,Small nucleolar RNA SNORD28,,Mammals,18S-1391,18S-1391,18S-1391,RCH:18S-1391,1.85,,-,U2.2-49,NA,NA,0.41 (H),,,,,,,,,,,,,
SNORD116-8,snoID_0030,chr15,+,25315578,25315674,25315580,25315673,SNORD116-8,CD,HUGO,7020589,SNURF-SNRPN,SNORD116-8,RF00108,1.00E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD74,snoID_0031,chr1,-,173836812,173836883,173836881,173836815,SNORD74,CD,HUGO,6982231,GAS5,SNORD74,RF00284,2.40E-025,SNORD74,Small nucleolar RNA SNORD74,,Tetrapodes and Teleostes,-,18S-932,18S-932,CH:18S-932,1.11,*,28S-3820,28S-4751,18S-1684,C:18S-1684,1.55,,,,,,,,,,,,,
SNORD116-6,snoID_0032,chr15,+,25310172,25310269,25310174,25310268,SNORD116-6,CD,HUGO,6846189,SNURF-SNRPN,SNORD116-6,RF00108,1.40E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD52,snoID_0033,chr6,+,31804853,31804916,31804852,31804918,SNORD52,CD,HUGO,6665262,C6orf48,SNORD52,RF00276,8.60E-021,SNORD52,Small nucleolar RNA SNORD52,,Tetrapodes and Teleostes,-,U2.1-155,NA,NA,0 (H),,28S-3904,28S-3905,NA,H:28S-3905,0,,,,,,,,,,,,,
SNORD59A,snoID_0034,chr12,-,57038811,57038885,57038884,57038811,SNORD59A,CD,HUGO,6600228,ATP5B,SNORD59A,RF00273,5.80E-022,SNORD59,Small nucleolar RNA SNORD59,,Tetrapodes and Teleostes,-,18S-774,NA,NA,0.31 (H),,18S-1031,18S-1031,18S-1031,RCH:18S-1031,1.13,,,,,,,,,,,,,
SNORD51,snoID_0035,chr2,+,207026605,207026674,207026606,207026674,SNORD51,CD,HUGO,6575150,EEF1B2,SNORD51,RF00280,1.10E-022,SNORD51,Small nucleolar RNA SNORD51,,Amniotes,-,U1.5-55,NA,NA,0 (H),,28S-1511,28S-1511,28S-1511,RCH:28S-1511,1.15,,,,,,,,,,,,,
SNORD101,snoID_0036,chr6,+,133136446,133136518,133136447,133136514,SNORD101,CD,HUGO,6514692,RPS12,SNORD101,RF00186,1.70E-024,SNORD101,Small nucleolar RNA SNORD101,,Vertebrates,-,U5.4-71,NA,NA,0 (H),,-,28S-3609,28S-3609,NA,0.6 (CH),,,,,,,,,,,,,
SNORD43,snoID_0037,chr22,-,39715057,39715118,39715118,39715057,SNORD43,CD,HUGO,6417024,RPL3,SNORD43,RF00221,9.30E-016,SNORD43,Small nucleolar RNA SNORD43,,Deuterostomes,-,28S-20,28S-20,NA,0.81 (CH),,18S-1705,18S-1705,18S-1705,RCH:18S-1705,1.6,,,,,,,,,,,,,
SNORD59B,snoID_0038,chr12,-,57037464,57037538,57037533,57037468,SNORD59B,CD,HUGO,4992053,ATP5B,SNORD59B,RF00273,2.20E-021,SNORD59,Small nucleolar RNA SNORD59,,Tetrapodes and Teleostes,-,18S-682,NA,NA,0.09 (H),,18S-1031,18S-1031,18S-1031,RCH:18S-1031,1.13,,,,,,,,,,,,,
SNORD15A,snoID_0039,chr11,+,75111435,75111582,75111435,75111582,SNORD15A,CD,HUGO,4980558,RPS3,SNORD15A,RF00067,1.20E-026,SNORD15,Small nucleolar RNA SNORD15,,Vertebrates,28S-3764,28S-4662,28S-3764,RC:28S-3764,1.27,,,,,,,,,,,,,,,,,,,
SNORD30,snoID_0040,chr11,-,62621135,62621204,62621204,62621138,SNORD30,CD,HUGO,4935173,SNHG1,SNORD30,RF00088,1.80E-023,SNORD30,Small nucleolar RNA SNORD30,,Tetrapodes and Teleostes,-,U5.5-71,U5.5-71,CH:U5.5-71,1.05,*,28S-3804,28S-3804,18S-1383,RH:28S-3804,1.25,,,,,,,,,,,,,
SNORD80,snoID_0041,chr1,-,173833971,173834041,173834042,173833971,SNORD80,CD,HUGO,4859473,GAS5,SNORD80,RF00309,1.40E-014,snosnR60_Z15,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,,Tetrapodes and Teleostes,28S-1612,28S-1612,28S-1612,RCH:28S-1612,1.9,,28S-1521,U1.10-144,NA,H:U1.10-144,0.24,,,,,,,,,,,,,
SNORD114-22,snoID_0042,chr14,+,101449263,101449333,101449265,101449329,SNORD114-22,CD,HUGO,4852401,RP11-909M7.3,SNORD114-22,RF00181,3.50E-020,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,28S-3546,18S-1162,C:18S-1162,1.17,*,-,28S-2068,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD58C,snoID_0043,chr18,-,47015605,47015694,47015678,47015618,SNORD58C,CD,HUGO,4816385,RPL17-C18orf32,SNORD58C,RF00151,1.30E-019,SNORD58,Small nucleolar RNA SNORD58,,Vertebrates,-,U1.10-41,NA,NA,0.21 (H),,28S-4198,28S-4198,28S-4198,RCH:28S-4198,1.09,,,,,,,,,,,,,
SNORD95,snoID_0044,chr5,-,180670314,180670376,180670378,180670314,SNORD95,CD,HUGO,4791191,GNB2L1,SNORD95,RF00189,2.00E-020,SNORD95,Small nucleolar RNA SNORD95,,Amniotes,28S-2802,28S-2802,18S-1133,RH:28S-2802,1.14,,28S-2811,28S-2811,18S-1395,RH:28S-2811,0.94,,,,,,,,,,,,,
SNORD116-1,snoID_0045,chr15,+,25296623,25296719,25296625,25296718,SNORD116-1,CD,HUGO,4755024,SNHG14,SNORD116-1,RF00108,2.30E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD48,snoID_0046,chr6,+,31803040,31803103,31803040,31803103,SNORD48,CD,HUGO,4662197,C6orf48,SNORD48,RF00282,8.60E-021,SNORD48,Small nucleolar RNA SNORD48,,Tetrapodes and Teleostes,28S-2279,28S-1868,18S-188,C:18S-188,1.02,,-,U1.1-7,28S-4355,NA,0.75 (C),,,,,,,,,,,,,
SNORD24,snoID_0047,chr9,+,136216251,136216325,136216251,136216324,SNORD24,CD,HUGO,4350046,RPL7A,SNORD24,RF00069,2.20E-020,SNORD24,Small nucleolar RNA SNORD24,,Vertebrates,28S-2338,28S-2338,28S-2338,RCH:28S-2338,1.5,,28S-2352,28S-2352,28S-2352,RCH:28S-2352,0.61,,,,,,,,,,,,,
SNORD96A,snoID_0048,chr5,-,180668818,180668889,180668890,180668817,SNORD96A,CD,HUGO,4227173,GNB2L1,SNORD96A,RF00055,0.000000011,SNORD96,Small nucleolar RNA SNORD96 family,,Amniotes,5-8S-75,5.8S-75,18S-597,RH:5.8S-75,1.19,,-,28S-4642,NA,NA,0 (H),,,,,,,,,,,,,
SNORD116-2,snoID_0049,chr15,+,25299356,25299452,25299358,25299451,SNORD116-2,CD,HUGO,4146227,SNURF-SNRPN,SNORD116-2,RF00108,7.80E-024,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1240,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD6,snoID_0050,chr11,-,93464669,93464739,93464738,93464672,SNORD6,CD,HUGO,4091103,TAF1D,SNORD6,RF00342,5.00E-026,snoZ40,Small nucleolar RNA Z40,,Vertebrates,-,U1.1-38,18S-1517,NA,0.93 (C),,28S-2411,28S-2411,28S-2411,RCH:28S-2411,0.71,,,,,,,,,,,,,
SNORD87,snoID_0051,chr8,-,67834709,67834784,67834785,67834710,SNORD87,CD,HUGO,3997987,SNHG6,SNORD87,RF00439,1.20E-025,SNORD87,Small nucleolar RNA SNORD87,,Amniotes,-,NA-NA,NA,NA,0 (H),,28S-3723,28S-3723,NA,RH:28S-3723,0.59,,,,,,,,,,,,,
SNORD116-4,snoID_0052,chr15,+,25304684,25304781,25304686,25304780,SNORD116-4,CD,HUGO,3855217,SNHG14,SNORD116-4,RF00108,6.70E-023,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-3351,NA,NA,0 (H),,-,U1.5-45,NA,NA,0.79 (H),,,,,,,,,,,,,
SNORD118,snoID_0053,chr17,-,8076771,8076906,8076906,8076771,SNORD118,CD,HUGO,3655008,NA,SNORD118,RF00096,5.30E-032,U8,U8 small nucleolar RNA,,Eutherians,-,28S-3362,18S-692,C:18S-692,1.21,*,,,,,,,,,,,,,,,,,,
SNORD32A,snoID_0054,chr19,+,49993223,49993304,49993223,49993304,SNORD32A,CD,HUGO,3650065,RPL13A,SNORD32A,RF00133,3.80E-013,SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family,,Mammals,18S-1328,18S-1328,18S-1328,RCH:18S-1328,2.15,,28S-1511,28S-1511,28S-1511,RCH:28S-1511,1.04,,,,,,,,,,,,,
SNORD29,snoID_0055,chr11,-,62621376,62621440,62621440,62621380,SNORD29,CD,HUGO,3519100,SNHG1,SNORD29,RF00070,6.40E-018,SNORD29,Small nucleolar RNA SNORD29,,Tetrapodes and Teleostes,-,U1.10-151,18S-823,NA,0.85 (C),,28S-4493,28S-4493,28S-4493,RCH:28S-4493,1.55,,,,,,,,,,,,,
SNORD71,snoID_0056,chr16,-,71792305,71792390,71792385,71792313,SNORD71,CD,HUGO,3099254,AP1G1,SNORD71,RF00576,6.10E-026,SNORD71,Small nucleolar RNA SNORD71,,Amniotes,-,U5.4-71,NA,NA,0.46 (H),,5-8S-14,5.8S-14,5.8S-14,RCH:5.8S-14,1.37,,,,,,,,,,,,,
SNORD1B,snoID_0057,chr17,+,74557190,74557275,74557195,74557264,SNORD1B,CD,HUGO,2920915,SNHG16,SNORD1B,RF00213,2.00E-011,snoR38,Small nucleolar RNA R38,,Tetrapodes,-,28S-2512,NA,NA,0.3 (H),,28S-4362,28S-4362,28S-4362,RCH:28S-4362,1.67,,,,,,,,,,,,,
SNORD4A,snoID_0058,chr17,+,27049600,27049671,27049602,27049670,SNORD4A,CD,HUGO,2877721,RPL23A,SNORD4A,RF00266,8.30E-019,snoZ17,Small nucleolar RNA Z17,,Amniotes,-,28S-634,NA,NA,0 (H),,18S-121,18S-121,18S-121,RCH:18S-121,1.56,,,,,,,,,,,,,
SNORD113-8,snoID_0059,chr14,+,101409788,101409860,101409790,101409856,SNORD113-8,CD,HUGO,2843856,NA,SNORD113-8,RF00181,2.30E-015,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,U7-8,NA,NA,0 (H),,-,18S-1741,NA,H:18S-1741,1.1,*,,,,,,,,,,,,
SNORD82,snoID_0060,chr2,-,232325079,232325153,232325149,232325084,SNORD82,CD,HUGO,2667725,NCL,SNORD82,RF00158,8.80E-024,SNORD82,Small nucleolar RNA SNORD82,,Tetrapodes and Teleostes,-,18S-1529,NA,NA,0.14 (H),,18S-1680,18S-1680,18S-1680,RCH:18S-1680,0.96,,,,,,,,,,,,,
SNORD77,snoID_0061,chr1,-,173835449,173835509,173835506,173835444,SNORD77,CD,HUGO,2577300,GAS5,SNORD77,RF00591,1.40E-023,SNORD77,Small nucleolar RNA SNORD77,,Mammals,-,U5.3-19,NA,NA,0.34 (H),,28S-1521,28S-1521,U2.2-178,RH:28S-1521,0.86,,,,,,,,,,,,,
SNORD16,snoID_0062,chr15,-,66795149,66795248,66795249,66795151,SNORD16,CD,HUGO,2571732,RPL4,SNORD16,RF00138,3.00E-031,SNORD16,Small nucleolar RNA SNORD16,,Deuterostomes,-,U11.1-72,NA,NA,0.11 (H),,18S-484,18S-484,18S-484,RCH:18S-484,1.34,,,,,,,,,,,,,
SNORD25,snoID_0063,chr11,-,62623037,62623103,62623103,62623038,SNORD25,CD,HUGO,2550438,SNHG1,SNORD25,RF00054,0.000000019,SNORD25,Small nucleolar RNA SNORD25,,Tetrapodes and Teleostes,-,NA-NA,NA,NA,0 (H),,18S-1490,18S-1490,18S-1490,RCH:18S-1490,2.27,,,,,,,,,,,,,
SNORD14B,snoID_0064,chr11,-,17097325,17097415,17097415,17097325,SNORD14B,CD,HUGO,2431288,RPS13,SNORD14B,RF00016,1.90E-018,SNORD14,Small nucleolar RNA SNORD14,,Deuterostomes,18S-462,18S-462,18S-462,RCH:18S-462,1.96,,-,18S-1228,NA,NA,0.09 (H),,,,,,,,,,,,,
SNORD116-16,snoID_0065,chr15,+,25327914,25328007,25327916,25328006,SNORD116-16,CD,HUGO,2423233,SNURF-SNRPN,SNORD116-16,RF00108,1.10E-027,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1241,NA,NA,0 (H),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD14A,snoID_0066,chr11,-,17096200,17096291,17096291,17096200,SNORD14A,CD,HUGO,2388854,RPS13,SNORD14A,RF00016,3.70E-017,SNORD14,Small nucleolar RNA SNORD14,,Deuterostomes,18S-462,18S-462,18S-462,RCH:18S-462,1.96,,-,18S-1228,NA,NA,0.09 (H),,,,,,,,,,,,,
SNORD50B,snoID_0067,chr6,-,86387307,86387377,86387376,86387306,SNORD50B,CD,HUGO,2320856,SNHG5,SNORD50B,RF00278,4.50E-019,SNORD50,Small nucleolar RNA SNORD50,,Tetrapodes and Teleostes,28S-2848,28S-2848,28S-2848,RCH:28S-2848,1.17,,28S-2863,28S-2863,18S-1598,RH:28S-2863,1.02,,,,,,,,,,,,,
SNORD116-17,snoID_0068,chr15,+,25328734,25328827,25328736,25328826,SNORD116-17,CD,HUGO,2225247,SNURF-SNRPN,SNORD116-17,RF00108,2.40E-028,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1241,NA,NA,0 (H),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD116-19,snoID_0069,chr15,+,25331673,25331766,25331675,25331765,SNORD116-19,CD,HUGO,2225105,SNURF-SNRPN,SNORD116-19,RF00108,2.40E-028,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1241,NA,NA,0 (H),,18S-1162,18S-1162,18S-1162,RCH:18S-1162,1.21,,,,,,,,,,,,,
SNORD63,snoID_0070,chr5,-,137896732,137896799,137896799,137896733,SNORD63,CD,HUGO,2146497,HSPA9,SNORD63,RF00154,6.00E-021,SNORD63,Small nucleolar RNA SNORD63,,Amniotes,-,18S-893,NA,NA,0.45 (H),,28S-4541,28S-4541,28S-4541,RCH:28S-4541,0.73,,,,,,,,,,,,,
SNORD75,snoID_0071,chr1,-,173836017,173836076,173836076,173836017,SNORD75,CD,HUGO,2085993,GAS5,SNORD75,RF00612,3.80E-024,SNORD75,Small nucleolar RNA SNORD75,,Tetrapodes and Teleostes,-,U2.3-98,NA,NA,0.14 (H),,28S-4032,28S-4032,NA,RH:28S-4032,0.73,,,,,,,,,,,,,
SNORD27,snoID_0072,chr11,-,62622484,62622555,62622555,62622488,SNORD27,CD,HUGO,2044443,SNHG1,SNORD27,RF00086,7.40E-013,SNORD27,Small nucleolar RNA SNORD27,,Tetrapodes and Teleostes,-,28S-2269,NA,NA,0.42 (H),,18S-27,18S-27,18S-27,RCH:18S-27,1.35,,,,,,,,,,,,,
SNORD116-20,snoID_0073,chr15,+,25332808,25332901,25332810,25332900,SNORD116-20,CD,HUGO,1944308,SNURF-SNRPN,SNORD116-20,RF00108,5.90E-028,SNORD116,Small nucleolar RNA SNORD116,,Eutherians,-,28S-1241,NA,NA,0 (H),,18S-1162,18S-1162,18S-1162,CH:18S-1162,1.21,,,,,,,,,,,,,
SNORD56,snoID_0074,chr20,+,2637270,2637340,2637270,2637339,SNORD56,CD,HUGO,1882271,NOP56,SNORD56,RF00275,3.90E-023,SNORD56,Small nucleolar RNA SNORD56,,Tetrapodes and Teleostes,-,U1.1-49,U1.1-49,NA,0.69 (CH),,18S-517,18S-517,18S-517,RCH:18S-517,1.36,,,,,,,,,,,,,
SNORD60,snoID_0075,chr16,-,2205024,2205106,2205106,2205027,SNORD60,CD,HUGO,1856467,RP11-304L19.5,SNORD60,RF00271,4.20E-025,SNORD60,Small nucleolar RNA SNORD60,,Tetrapodes and Teleostes,-,U4.1-57,NA,NA,0.15 (H),,28S-4340,28S-4340,28S-4340,RCH:28S-4340,1.82,,,,,,,,,,,,,
SNORD114-9,snoID_0076,chr14,+,101432366,101432436,101432368,101432432,SNORD114-9,CD,HUGO,1800096,NA,SNORD114-9,RF00181,4.70E-021,SNORD113,Small nucleolar RNA SNORD113/SNORD114 family,,Eutherians,-,18S-1272,18S-1162,C:18S-1162,1.17,*,-,28S-2068,18S-951,C:18S-951,1.27,*,,,,,,,,,,,,
SNORD35A,snoID_0077,chr19,+,49994432,49994517,49994433,49994512,SNORD35A,CD,HUGO,1797520,RPL13A,SNORD35A,RF00211,4.40E-023,SNORD35,Small nucleolar RNA SNORD35,,Vertebrates,-,28S-4622,28S-4622,NA,0.72 (CH),,28S-4506,28S-4506,28S-4506,RCH:28S-4506,2.39,,,,,,,,,,,,,
